순번,과목코드,과목명,구분,구분2,학점,성적부여,담당교수,수업시간,장바구니,수강정원,수강인원
10072,921023,세계문화유산의 이해,일반교양,인간과문화,3,Grade,정재균,"수06 ,07 ,08 [N15-245(57-245)]",7,90,27
10073,921023,세계문화유산의 이해,일반교양,인간과문화,3,Grade,이상민,"화06 ,07 ,08 [N14-109(56-109)]",18,80,72
10074,921023,세계문화유산의 이해,일반교양,인간과문화,3,Grade,이선희,"토05 ,06 ,07 [S21-4-143(92-143)]",23,80,54
10075,922015,세계의지리,일반교양,사회와역사,3,Grade,윤현위,"월02 ,03 ,04 [E1-2-331(81-331)]",11,80,36
10076,934013,수영의이론과실기,확대교양,예술과체육,2,Grade,김광명,"금05 ,06 ,07 [N13-502(59-502)]",19,20,20
10077,921048,스토리텔링과 소통,일반교양,인간과문화,3,Grade,백용식,"목07 ,08 ,09 [N16-1-123(58-123)]",19,80,46
10078,923026,스포츠와건강,일반교양,자연과과학,3,Grade,김현주,"수05 ,06 ,07 [N14-105(56-105)]",42,100,84
10079,923024,스포츠의과학적이해,일반교양,자연과과학,3,Grade,신준용,"화01 ,02 ,03 [N14-105(56-105)]",72,100,98
10080,921015,시 읽기와 마음 가꾸기,일반교양,인간과문화,3,Grade,정효구,"수02 ,03 ,04 [N14-109(56-109)]",40,50,50
10081,922035,시민사회에서의 재산과 가족,일반교양,사회와역사,3,Grade,최상회,"목07 ,08 ,09 [N14-102(56-102)]",98,72,71
10082,922038,시스템 사고와 창의,일반교양,사회와역사,3,Grade,김상욱,월00  목00  금00 [가상강의실2],8,50,16
10083,923005,식품과영양,일반교양,자연과과학,3,Grade,이영은,"월05 ,06 ,07 [N18-216]",45,60,55
10084,923005,식품과영양,일반교양,자연과과학,3,Grade,이유진,"월01 ,02 ,03 [N18-110]",38,80,74
10085,923005,식품과영양,일반교양,자연과과학,3,Grade,장은경,"화02 ,03 ,04 [N18-110]",22,80,73
10086,923005,식품과영양,일반교양,자연과과학,3,Grade,김명숙,"수02 ,03 ,04 [N18-110]",43,80,77
10087,922027,신용관리와 소비생활,일반교양,사회와역사,3,Grade,최홍철,"월06 ,07 ,08 [N14-108(56-108)]",62,80,82
10088,922027,신용관리와 소비생활,일반교양,사회와역사,3,Grade,박종옥,"화02 ,03 ,04 [E8-10-104(508-104)]",77,100,95
10089,922027,신용관리와 소비생활,일반교양,사회와역사,3,Grade,고은희,"수06 ,07 ,08 [S21-4-246(92-246)]",37,100,100
10090,922027,신용관리와 소비생활,일반교양,사회와역사,3,Grade,박영미,"목02 ,03 ,04 [N14-703(56-703)]",71,80,77
10091,922027,신용관리와 소비생활,일반교양,사회와역사,3,Grade,김태은,"금02 ,03 ,04 [N18-110]",13,100,41
10092,923025,신체활동과스트레스,일반교양,자연과과학,3,Grade,장봉우,"목01 ,02 ,03 [S20-101]",28,150,82
10093,933014,실무한자,확대교양,진로와취업,3,Grade,최병덕,"월06 ,07 [N16-1-226(58-226)]  목06 [N16-1-123(58-123)]",10,50,9
10094,932017,실용영문법,확대교양,국제화,3,Grade,한기선,"목02 ,03 ,04 [N16-1-258(58-258)]",29,40,39
10095,922021,심리학개론,일반교양,사회와역사,3,Grade,안정광,"화05 ,06 ,07 [N15-245(57-245)]",21,90,71
10096,922016,아동발달과부모교육,일반교양,사회와역사,3,Grade,이은경,"목02 ,03 ,04 [N20-1-115(62-115)]",132,140,136
10097,922016,아동발달과부모교육,일반교양,사회와역사,3,Grade,윤현정,"수02 ,03 ,04 [E8-2-101(45-101)]",24,140,38
10098,923008,알기 쉬운 우리 몸의 기능,일반교양,자연과과학,3,Grade,"김영철, 김진하, 김찬형, 최웅","목02 ,03 ,04 [N14-105(56-105)]",67,150,132
10099,921011,언어로의 초대,일반교양,인간과문화,3,Grade,최성호,"화02 ,03 ,04 [N16-1-123(58-123)]",72,80,76
10100,923028,에너지와환경,일반교양,자연과과학,3,Grade,김가현,"화06 ,07 ,08 [S1-2-301(41-301)]",37,80,77
10101,933013,여성 진로탐색과 경력개발,확대교양,진로와취업,2,PassFail,김찬중,"금02 ,03 [E3-213(38-213)]",67,100,78
10102,922039,여성으로 읽는 한국 사회,일반교양,사회와역사,3,Grade,박정미,"화02 ,03  목03 [N15-245(57-245)]",6,80,37
10103,933003,여성취업과경력개발,확대교양,진로와취업,2,PassFail,김찬중,"수06 ,07 [E3-213(38-213)]",23,100,27
10104,922008,역사와 스토리텔링,일반교양,사회와역사,3,Grade,유승희,"화06 ,07 ,08 [N15-171(57-171)]",30,100,39
10105,922006,역사학과 디지털 문화콘텐츠의 만남,일반교양,사회와역사,3,Grade,유승희,"화02 ,03 ,04 [E1-2-148(82-148)]",41,100,85
10106,934004,연극영화의이론과감상,확대교양,예술과체육,3,Grade,조만수,"월07 ,08 ,09 [N16-1-127(58-127)]",31,110,53
10107,934004,연극영화의이론과감상,확대교양,예술과체육,3,Grade,임재일,"수07 ,08 ,09 [N13-101(59-101)]",46,80,80
10108,934004,연극영화의이론과감상,확대교양,예술과체육,3,Grade,박인영,"화05 ,06 ,07 [N13-103(59-103)]",69,50,51
10109,922007,영상으로 보는 한국사,일반교양,사회와역사,3,Grade,임형수,"목06 ,07 ,08 [N16-1-127(58-127)]",58,100,96
10110,922007,영상으로 보는 한국사,일반교양,사회와역사,3,Grade,조혁연,"수05 ,06 ,07 [E1-2-148(82-148)]",118,100,113
10111,922007,영상으로 보는 한국사,일반교양,사회와역사,3,Grade,선봉조,"월05 ,06 ,07 [N16-1-127(58-127)]",45,100,108
10112,922007,영상으로 보는 한국사,일반교양,사회와역사,3,Grade,노용필,"수01 ,02 ,03 [N14-105(56-105)]",31,100,95
10113,922007,영상으로 보는 한국사,일반교양,사회와역사,3,Grade,박윤진,"화07 ,08 ,09 [N14-105(56-105)]",57,100,96
10114,932016,영어회화,확대교양,국제화,3,Grade,존 데이비드 부코비치,"목01 ,02 ,03 [N16-1-123(58-123)]",43,50,46
10115,921043,영화 속의 철학,일반교양,인간과문화,3,Grade,허준,"금02 ,03 ,04 [N15-245(57-245)]",51,90,91
10116,933012,영화로 영어공부하기,확대교양,진로와취업,3,Grade,피터 맥 고완,"금07 ,08 ,09 [N14-109(56-109)]",73,87,88
10117,923019,영화로 읽는 과학과 문화,일반교양,자연과과학,3,Grade,박권수,"월07 ,08 ,09 [N14-207(56-207)]",19,90,82
10118,921046,예술로 만나는 시민교육,일반교양,인간과문화,3,Grade,최승현,"수07 ,08 ,09 [N16-1-258(58-258)]",8,40,11
10119,921021,우리의선사문화,일반교양,인간과문화,3,Grade,이진옥,"화02 ,03 ,04 [N16-1-125(58-125)]",14,80,51
10120,934005,음악과 인성,확대교양,예술과체육,3,Grade,한수정,"목01 ,02 ,03 [N13-101(59-101)]",39,100,101
10121,934003,음악의이론과감상,확대교양,예술과체육,3,Grade,황순도,"화02 ,03 ,04 [N13-104(59-104)]",86,80,79
10122,934003,음악의이론과감상,확대교양,예술과체육,3,Grade,한수정,"목07 ,08 ,09 [N13-104(59-104)]",94,80,119
10123,923016,인간과 기계문명,일반교양,자연과과학,3,Grade,김연순,"수02 ,03 ,04 [N16-1-329(58-329)]",14,80,21
10124,921041,인간과 동물,일반교양,인간과문화,3,Grade,박권수,"목07 ,08 ,09 [N14-109(56-109)]",28,80,49
10125,923010,인간과 생명,일반교양,자연과과학,3,Grade,김학용,"월02 ,03  화08 [S1-6-107(36-107)]",15,200,120
10126,922010,일본 역사 속의 한국문화,일반교양,사회와역사,3,Grade,임병덕,"수02 ,03 ,04 [N14-204(56-204)]",38,100,61
10127,922012,일상생활의심리학,일반교양,사회와역사,3,Grade,이봉건,"월07 ,08 ,09 [N15-245(57-245)]",17,90,59
10128,922012,일상생활의심리학,일반교양,사회와역사,3,Grade,김종대,"수02 ,03 ,04 [N14-104(56-104)]",62,100,94
10129,922012,일상생활의심리학,일반교양,사회와역사,3,Grade,김영경,"목05 ,06 ,07 [N14-105(56-105)]",99,100,95
10130,923002,정보와통계,일반교양,자연과과학,3,Grade,정애란,"화06 [S2-101(32-101)]  목06 ,07 [N15-245(57-245)]",8,70,52
10131,923002,정보와통계,일반교양,자연과과학,3,Grade,서민자,"화06  목06 ,07 [S1-3-203(42-203)]",7,60,56
10132,923002,정보와통계,일반교양,자연과과학,3,Grade,이성원,"화06 [S2-102(32-102)]  목06 ,07 [S1-3-202(42-202)]",2,60,47
10133,921004,중국문화의이해,일반교양,인간과문화,3,Grade,배득렬,"목06 ,07 ,08 [N16-1-158(58-158)]",16,40,14
10134,921004,중국문화의이해,일반교양,인간과문화,3,Grade,조현국,수A1  금A1 [N16-1-125(58-125)],7,80,11
10135,932001,중국어 I,확대교양,국제화,3,Grade,배병균,"화05  목05 ,06 [N16-1-225(58-225)]",9,40,36
10136,932001,중국어 I,확대교양,국제화,3,Grade,이선옥,"화06 ,07 ,08 [N16-1-125(58-125)]",19,80,26
10137,932001,중국어 I,확대교양,국제화,3,Grade,조현국,수A2 [N14-107(56-107)]  금A2 [N14-108(56-108)],9,54,10
10138,932002,중국어II,확대교양,국제화,3,Grade,봉인영,"화07 ,08 ,09 [N16-1-258(58-258)]",6,40,2
10139,923001,지구와환경,일반교양,자연과과학,3,Grade,정원석,"화01 ,02 ,03 [S1-4-111(43-111)]",91,120,123
10140,923001,지구와환경,일반교양,자연과과학,3,Grade,윤현석,"수06 ,07 ,08 [S1-6-210(36-210)]",94,80,82
10141,923001,지구와환경,일반교양,자연과과학,3,Grade,이인경,"금06 ,07 ,08 [S1-6-210(36-210)]",15,80,40
10142,933002,직업과 사회진출,확대교양,진로와취업,2,PassFail,김찬중,"금06 ,07 [E3-213(38-213)]",190,100,112
10143,933006,진로탐색과 진로설정,확대교양,진로와취업,2,PassFail,김찬중,"화08 ,09 [N14-105(56-105)]",22,100,38
10144,932022,집중 TOPIK II,확대교양,국제화,3,Grade,지주연,"수03 ,04  금02 [N14-102(56-102)]",7,72,28
10145,933011,창업옴니버스,확대교양,진로와취업,2,PassFail,양병도,"화08 ,09 [E9-105A(학연105A)]",171,200,200
10146,922037,창업을 위한 기초 경영,일반교양,사회와역사,3,Grade,정원덕,"화07 ,08 ,09 [N14-704(56-704)]",7,80,8
10147,921029,철학고전읽기,일반교양,인간과문화,3,Grade,이경희,"월05 ,06 ,07 [N16-1-125(58-125)]",8,80,7
10148,934008,축구의이론과실기,확대교양,예술과체육,2,Grade,김상필,"목05 ,06 ,07 [N13-404(59-404)]",8,20,7
10149,933005,코칭파워리더쉽,확대교양,진로와취업,2,PassFail,김찬중,"목06 ,07 [E3-213(38-213)]",101,100,100
10150,934011,탁구의이론과실기,확대교양,예술과체육,2,Grade,김세형,"금04 ,05 ,06 [N13-404(59-404)]",19,20,19
10151,934011,탁구의이론과실기,확대교양,예술과체육,2,Grade,옥광,"수02 ,03 ,04 [N13-404(59-404)]",5,20,4
10152,934011,탁구의이론과실기,확대교양,예술과체육,2,Grade,박해원,"월07 ,08 ,09 [N13-502(59-502)]",8,20,17
10153,934010,테니스의이론과실기,확대교양,예술과체육,2,Grade,박종진,"화06 ,07 ,08 [S21-4-334(92-334)]",10,20,20
10154,932018,토익 듣기와 읽기,확대교양,국제화,3,Grade,윤봉이,"수01 ,02 ,03 [N7-301]",35,40,39
10155,932018,토익 듣기와 읽기,확대교양,국제화,3,Grade,심지영,"월05 ,06 ,07 [N14-203(56-203)]",69,65,62
10156,933007,특강한국사,확대교양,진로와취업,3,Grade,조혁연,"화05 ,06 ,07 [S20-101]",48,100,75
10157,933004,특허와상표,확대교양,진로와취업,3,Grade,조겨리,"수11 ,12 ,13 [E8-1-316(44-316)]",25,30,30
10158,922047,패션과 라이프,일반교양,사회와역사,3,Grade,최종명,"목06 ,07 ,08 [N20-1-115(62-115)]",71,140,136
10159,922047,패션과 라이프,일반교양,사회와역사,3,Grade,채영주,"수06 ,07 ,08 [N20-1-115(62-115)]",40,80,79
10160,922047,패션과 라이프,일반교양,사회와역사,3,Grade,권수희,"목02 ,03 ,04 [N14-204(56-204)]",30,100,89
10161,921008,프랑스문화와예술기행,일반교양,인간과문화,3,Grade,고봉만,"월07 ,08 ,09 [N20-1-115(62-115)]",80,90,82
10162,921008,프랑스문화와예술기행,일반교양,인간과문화,3,Grade,신명숙,"화07 ,08 ,09 [N14-104(56-104)]",107,70,84
10163,921008,프랑스문화와예술기행,일반교양,인간과문화,3,Grade,윤현,"수07 ,08 ,09 [N16-1-127(58-127)]",29,70,71
10164,932005,프랑스어I,확대교양,국제화,3,Grade,"김대영, 이은미","수05 ,06 [N14-109(56-109)]  목03 [N14-202(56-202)]",10,40,40
10165,932005,프랑스어I,확대교양,국제화,3,Grade,신명숙,"수02 ,03 ,04 [N16-1-226(58-226)]",33,40,40
10166,922050,하우징 트렌드,일반교양,사회와역사,3,Grade,이현정,"금02 ,03 ,04 [N20-1-115(62-115)]",29,140,87
10167,922050,하우징 트렌드,일반교양,사회와역사,3,Grade,박지민,"수02 ,03 ,04 [N20-1-115(62-115)]",54,140,88
10168,921014,한국 대중문화의 이해,일반교양,인간과문화,3,Grade,김영미,"목06 ,07 ,08 [N14-108(56-108)]",14,80,22
10169,921038,한국 속의 세계문화유산,일반교양,인간과문화,3,Grade,이승민,"금05 ,06 ,07 [N14-104(56-104)]",67,80,76
10170,921038,한국 속의 세계문화유산,일반교양,인간과문화,3,Grade,전진국,"화06 ,07 ,08 [N14-107(56-107)]",26,54,42
10171,921031,한국고대문화 산책,일반교양,인간과문화,3,Grade,이진옥,"목06 ,07 ,08 [N16-1-125(58-125)]",35,80,77
10172,922001,한국사의이해,일반교양,사회와역사,3,Grade,"김영관, 선봉조","월01 ,02 ,03 [N14-104(56-104)]",42,100,98
10173,922001,한국사의이해,일반교양,사회와역사,3,Grade,노용필,"수06 ,07 ,08 [N7-404]",53,80,70
10174,922001,한국사의이해,일반교양,사회와역사,3,Grade,박윤진,"화04 ,05 ,06 [N14-204(56-204)]",35,100,74
10175,922001,한국사의이해,일반교양,사회와역사,3,Grade,전진국,"화02 ,03 ,04 [S1-1-239(40-239)]",5,80,4
10176,921039,한국인의 삶과 행복,일반교양,인간과문화,3,Grade,손경찬,"화06 ,07 ,08 [N16-1-123(58-123)]",20,40,40
10177,921020,한글맞춤법의 이론과 실제,일반교양,인간과문화,3,Grade,장충덕,"화02 ,03  목03 [N7-404]",12,80,49
10178,921006,한자와한문,일반교양,인간과문화,3,Grade,어강석,"수02 ,03 ,04 [N16-1-325(58-325)]",39,50,51
10179,934006,합창,확대교양,예술과체육,3,PassFail,박미경,"월01 ,02 ,03 [E3-213(38-213)]",43,70,70
10180,934006,합창,확대교양,예술과체육,3,PassFail,박광우,"월01 ,02 ,03 [S21-4-146(92-146)]",143,70,86
10181,934006,합창,확대교양,예술과체육,3,PassFail,허성희,"화01 ,02 ,03 [E3-213(38-213)]",56,70,69
